Profession,Income,Credit_card_number,Expiry,Security_code
0.0,0.019862979446917037,0.0009340099712895166,0.7583333333333333,0.01891891891891892
1.0,0.6115017252587888,3.599927979952639e-05,0.9583333333333334,0.00880880880880881
0.5,0.29971495724358654,8.450741225021458e-07,0.6333333333333333,0.05345345345345345
1.0,0.4016202430364555,0.0008255454621086503,0.75,0.08838838838838839
0.0,0.8131819772965945,4.261827701932098e-05,0.43333333333333335,0.06006006006006006
0.0,0.9613342001300195,4.262007712734921e-05,0.6666666666666666,0.02862862862862863
0.0,0.49051357703655546,0.0007009859870353936,0.09166666666666666,0.02592592592592593
0.0,0.4613892083812572,0.0013034401415626682,0.43333333333333335,0.08078078078078078
0.0,0.4571185677851678,0.001038978270655558,0.8916666666666666,0.04264264264264264
0.5,0.3667150072510877,0.000714546800848045,0.13333333333333333,0.08218218218218219
0.5,0.5973696054408161,0.0004520770494921737,0.6416666666666666,0.09319319319319319
1.0,0.9430114517177576,6.0857446260427615e-06,0.6166666666666667,0.059759759759759765
0.5,0.4150522578386758,0.0013004259606754019,0.15833333333333333,0.04754754754754755
0.0,0.5339100865129769,4.2630477751512305e-05,0.31666666666666665,0.0948948948948949
0.0,0.0623693554033105,5.997879353064918e-06,0.1,0.02822822822822823
0.0,0.10669600440066009,7.713982339975672e-06,0.625,0.0014014014014014015
0.5,0.2100515077261589,4.262727755946212e-05,0.875,0.013613613613613615
1.0,0.7101565234785218,0.0009674579785740254,0.11666666666666667,0.06896896896896897
0.0,0.18355753363004448,7.211292172492829e-06,0.525,0.07447447447447447
0.5,0.5549232384857729,0.0007043081864074901,0.2583333333333333,0.0947947947947948
1.0,0.1301095164274641,0.8115446904047725,0.2916666666666667,0.07237237237237237
0.0,0.4745411811771766,0.857907472731802,0.5666666666666667,0.0924924924924925
0.0,0.3408111216682502,6.84800290368673e-05,0.30833333333333335,0.010210210210210211
1.0,0.16192428864329647,0.0008629777084956372,0.8583333333333333,0.04244244244244245
1.0,0.1942591388708306,0.0007162349021545167,0.075,0.08288288288288288
1.0,0.4570085512826924,6.053682701939988e-06,0.058333333333333334,0.023423423423423424
0.5,0.5332399859978997,8.828590606671003e-08,0.45,0.046646646646646646
0.5,0.8603090463569535,6.0473823238411895e-06,0.36666666666666664,0.0987987987987988
0.5,0.7526428964344651,6.854043266181452e-05,0.2583333333333333,0.0916916916916917
0.0,0.8187628144221633,0.000704368190008431,1.0,0.05215215215215215
0.5,0.6357753663049457,8.673094568908251e-07,0.35833333333333334,0.0
0.0,0.9191778766815022,8.141502666972191e-07,0.175,0.06176176176176176
0.5,0.6858428764314647,7.6216768005281995e-06,0.875,0.025125125125125127
